name,loc,sql_size,cols,tables,total_rows,total_cells
scythe/top_rated_posts/025,2,34,2,1,8,16
scythe/top_rated_posts/026,,,3,1,10,35
scythe/top_rated_posts/027,2,48,3,1,5,15
scythe/top_rated_posts/030,,45,3,1,12,36
scythe/top_rated_posts/032,,49,3,1,6,18
scythe/top_rated_posts/034,2,48,3,1,8,24
scythe/top_rated_posts/036,2,48,3,1,8,24
scythe/top_rated_posts/037,2,30,3,1,7,21
scythe/top_rated_posts/038,3,53,3,1,12,36
scythe/top_rated_posts/039,2,47,1,1,5,5
scythe/top_rated_posts/040,1,18,2,1,10,24
scythe/top_rated_posts/041,,,3,1,8,24
scythe/top_rated_posts/043,3,25,2,1,11,22
scythe/top_rated_posts/046,,,2,1,21,42
scythe/top_rated_posts/049,1,15,2,1,7,14
scythe/top_rated_posts/051,2,39,3,1,12,36
scythe/top_rated_posts/052,,22,2,1,8,20
scythe/top_rated_posts/053,,39,1,1,10,15
scythe/top_rated_posts/054,1,28,2,1,8,16
scythe/top_rated_posts/055,1,16,4,1,6,22
spider/activity_1/0001,,6,8,1,59,465
spider/activity_1/0002,,6,8,1,62,468
spider/activity_1/0003,,6,8,1,61,467
spider/activity_1/0004,,12,8,1,116,638
spider/activity_1/0005,,18,8,1,65,485
spider/activity_1/0006,,12,8,1,109,515
spider/activity_1/0007,,19,8,1,59,465
spider/activity_1/0008,,25,8,1,59,467
spider/activity_1/0009,,19,8,1,59,465
spider/activity_1/0010,,15,8,1,66,480
spider/activity_1/0011,,11,8,1,61,470
spider/activity_1/0012,,13,8,1,59,465
spider/activity_1/0013,,20,8,1,60,466
spider/activity_1/0014,,11,8,1,62,472
spider/activity_1/0015,,16,8,1,65,485
spider/activity_1/0016,,13,8,1,59,465
spider/activity_1/0017,,17,8,1,60,468
spider/activity_1/0018,,38,13,2,93,738
spider/activity_1/0019,,26,13,2,106,750
spider/activity_1/0020,,38,13,2,95,742
spider/activity_1/0021,,25,13,2,110,772
spider/activity_1/0022,,25,13,2,95,742
spider/activity_1/0023,,31,13,2,93,738
spider/activity_1/0024,,28,13,2,101,745
spider/activity_1/0025,,12,13,2,132,776
spider/activity_1/0026,,6,2,1,32,48
spider/activity_1/0027,,6,2,1,17,33
spider/activity_1/0028,,8,2,1,41,81
spider/activity_1/0029,,12,9,2,138,584
spider/activity_1/0030,,12,10,2,81,359
spider/activity_1/0031,,33,9,2,99,545
spider/activity_1/0032,,45,10,3,117,579
spider/activity_1/0033,,33,9,2,116,616
spider/activity_1/0034,,25,3,2,69,138
spider/activity_1/0035,,31,9,2,99,546
spider/activity_1/0036,,27,3,2,57,113
spider/activity_1/0037,,12,9,2,108,416
spider/activity_1/0038,,18,9,2,121,429
spider/activity_1/0039,,31,9,2,105,414
spider/activity_1/0040,,27,3,2,87,173
spider/activity_1/0041,,45,10,3,132,594
spider/activity_1/0042,,57,10,3,136,598
spider/activity_1/0043,,74,10,3,132,594
spider/activity_1/0044,,52,3,2,116,202
spider/aircraft/0001,,6,6,1,6,31
spider/aircraft/0002,,6,6,1,10,35
spider/aircraft/0003,,8,9,1,11,91
spider/aircraft/0004,,15,9,1,11,92
spider/aircraft/0005,,14,9,1,11,91
spider/aircraft/0006,,13,9,1,11,92
spider/aircraft/0007,,12,3,1,21,45
spider/aircraft/0008,,9,3,1,24,48
spider/aircraft/0009,,15,3,1,21,45
spider/aircraft/0010,,37,16,3,20,133
spider/aircraft/0011,,41,16,3,21,136
spider/aircraft/0012,,39,16,3,20,133
spider/aircraft/0013,,23,13,2,19,93
spider/aircraft/0014,,27,13,2,13,80
spider/aircraft/0015,,25,13,2,17,89
spider/aircraft/0016,,9,3,1,24,48
spider/aircraft/0017,,28,13,2,14,81
spider/aircraft/0020,,11,9,1,11,99
spider/aircraft/0021,,38,10,2,20,87
spider/aircraft/0022,,29,10,2,20,87
spider/aircraft/0023,,21,10,2,30,96
spider/allergy_1/0001,,8,2,1,15,29
spider/allergy_1/0002,,8,2,1,15,29
spider/allergy_1/0003,,6,2,1,17,31
spider/allergy_1/0004,,9,2,1,28,56
spider/allergy_1/0005,,12,2,1,21,35
spider/allergy_1/0006,,12,2,1,15,29
spider/allergy_1/0007,,12,2,1,15,29
spider/allergy_1/0008,,11,2,1,17,34
spider/allergy_1/0009,,13,2,1,15,29
spider/allergy_1/0010,,13,2,1,15,29
spider/allergy_1/0011,,6,8,1,35,273
spider/allergy_1/0012,,9,8,1,68,340
spider/allergy_1/0013,,8,8,1,35,273
spider/allergy_1/0014,,6,8,1,40,278
spider/allergy_1/0015,,6,8,1,53,291
spider/allergy_1/0016,,18,8,1,44,302
spider/allergy_1/0017,,12,8,1,58,296
spider/allergy_1/0018,,12,8,1,35,273
spider/allergy_1/0019,,12,8,1,41,279
spider/allergy_1/0020,,12,8,1,35,273
spider/allergy_1/0021,,12,8,1,35,273
spider/allergy_1/0022,,19,8,1,35,273
spider/allergy_1/0023,,18,8,1,35,275
spider/allergy_1/0024,,18,8,1,35,273
spider/allergy_1/0025,,18,8,1,35,273
spider/allergy_1/0026,,11,8,1,40,284
spider/allergy_1/0027,,13,8,1,35,273
spider/allergy_1/0028,,11,8,1,43,290
spider/allergy_1/0029,,13,8,1,36,276
spider/allergy_1/0030,,11,8,1,53,310
spider/allergy_1/0031,,11,8,1,52,308
spider/allergy_1/0032,,13,8,1,35,273
spider/allergy_1/0033,,12,2,1,60,119
spider/allergy_1/0034,,14,2,1,71,130
spider/allergy_1/0035,,12,9,2,98,395
spider/allergy_1/0036,,41,9,2,94,391
spider/allergy_1/0037,,25,3,2,74,147
spider/allergy_1/0038,,13,2,1,60,119
spider/allergy_1/0039,,11,2,1,71,142
spider/allergy_1/0040,,25,3,2,76,152
spider/allergy_1/0041,,35,9,2,95,394
spider/allergy_1/0042,,45,10,3,117,438
spider/allergy_1/0043,,35,9,2,94,392
spider/allergy_1/0044,,62,10,3,108,419
spider/allergy_1/0045,,38,10,3,127,458
spider/allergy_1/0046,,40,10,3,108,419
spider/allergy_1/0047,,38,9,2,98,400
spider/allergy_1/0048,,49,10,3,108,419
spider/allergy_1/0049,,24,9,2,123,450
spider/apartment_rentals/0001,,6,6,1,16,91
spider/apartment_rentals/0002,,9,6,1,30,120
spider/apartment_rentals/0003,,6,7,1,18,108
spider/apartment_rentals/0004,,12,7,1,16,106
spider/apartment_rentals/0005,,15,7,1,16,107
spider/apartment_rentals/0006,,12,7,1,17,107
spider/apartment_rentals/0007,,13,7,1,16,107
spider/apartment_rentals/0008,,8,7,1,16,106
spider/apartment_rentals/0009,,9,7,1,30,135
spider/apartment_rentals/0010,,14,7,1,16,106
spider/apartment_rentals/0011,,12,7,1,21,111
spider/apartment_rentals/0012,,9,5,1,30,105
spider/apartment_rentals/0013,,12,5,1,18,78
spider/apartment_rentals/0014,,27,12,2,45,240
spider/apartment_rentals/0015,,30,12,2,37,209
spider/apartment_rentals/0016,,30,12,2,45,225
spider/apartment_rentals/0017,,26,12,2,31,196
spider/apartment_rentals/0018,,26,12,2,35,200
spider/apartment_rentals/0019,,27,12,2,31,196
spider/apartment_rentals/0020,,27,10,2,45,210
spider/apartment_rentals/0021,,30,10,2,39,183
spider/apartment_rentals/0022,,30,10,2,37,179
spider/apartment_rentals/0023,,26,8,2,25,122
spider/apartment_rentals/0024,,28,8,2,23,120
spider/apartment_rentals/0025,,28,13,2,31,211
spider/apartment_rentals/0026,,26,13,2,32,212
spider/apartment_rentals/0027,,30,13,2,34,218
spider/apartment_rentals/0028,,11,6,1,17,94
spider/apartment_rentals/0029,,9,7,1,30,120
spider/apartment_rentals/0030,,11,7,1,16,106
spider/apartment_rentals/0031,,14,7,1,18,111
spider/apartment_rentals/0032,,15,7,1,18,108
spider/apartment_rentals/0033,,21,7,1,16,108
spider/apartment_rentals/0034,,13,7,1,16,106
spider/apartment_rentals/0035,,19,7,1,16,106
spider/apartment_rentals/0036,,18,7,1,18,114
spider/apartment_rentals/0037,,14,5,1,18,81
spider/apartment_rentals/0038,,15,8,2,23,120
spider/apartment_rentals/0039,,52,12,2,33,198
spider/apartment_rentals/0040,,52,10,2,37,187
spider/architecture/0001,,12,4,1,6,21
spider/architecture/0002,,21,4,1,9,32
spider/architecture/0003,,25,8,2,21,112
spider/architecture/0004,,8,6,1,16,91
spider/architecture/0005,,15,7,1,11,52
spider/architecture/0006,,23,9,2,15,70
spider/architecture/0007,,12,7,1,11,47
spider/architecture/0008,,34,9,2,12,63
spider/architecture/0009,,32,8,2,23,116
spider/architecture/0010,,35,9,2,12,65
spider/architecture/0011,,72,11,3,29,161
spider/architecture/0012,,19,6,1,17,92
spider/architecture/0013,,12,7,1,11,47
spider/architecture/0014,,37,11,3,30,156
spider/architecture/0015,,16,7,1,7,44
spider/architecture/0016,,21,9,2,12,63
spider/architecture/0017,,30,8,2,24,114
spider/assets_maintenance/0001,,64,15,3,47,259
spider/assets_maintenance/0002,,25,13,2,40,230
spider/assets_maintenance/0003,,25,14,2,40,230
spider/assets_maintenance/0004,,64,14,3,52,239
spider/assets_maintenance/0005,,46,17,3,49,278
spider/assets_maintenance/0006,,,12,2,31,198
spider/assets_maintenance/0007,,32,9,2,20,94
spider/assets_maintenance/0008,,42,8,3,58,204
spider/assets_maintenance/0009,,34,8,3,48,144
spider/assets_maintenance/0010,,25,6,2,21,51
spider/assets_maintenance/0011,,23,8,2,45,165
spider/assets_maintenance/0012,,30,13,2,31,212
spider/assets_maintenance/0013,,6,5,1,30,90
spider/assets_maintenance/0014,,6,3,1,19,49
spider/assets_maintenance/0015,,18,12,2,37,209
spider/assets_maintenance/0016,,15,9,1,30,195
spider/assets_maintenance/0017,,11,9,1,16,136
spider/assets_maintenance/0018,,42,10,3,34,122
spider/assets_maintenance/0019,,27,9,2,19,91
spider/assets_maintenance/0020,,35,12,2,31,198
spider/assets_maintenance/0021,,38,16,3,60,300
spider/assets_maintenance/0022,,35,8,2,31,138
spider/assets_maintenance/0023,,31,4,2,19,41
spider/assets_maintenance/0024,,6,9,1,30,150
spider/assets_maintenance/0025,,15,9,1,30,180
spider/assets_maintenance/0026,,14,5,1,4,17
spider/assets_maintenance/0027,,25,10,2,31,151
spider/assets_maintenance/0029,,13,4,1,16,61
spider/assets_maintenance/0030,,25,12,2,38,196
spider/assets_maintenance/0031,,15,14,2,36,231
spider/baseball_1/0001,,31,7,2,18558,58087
spider/baseball_1/0002,,28,50,2,28381,262516
spider/baseball_1/0003,,27,31,2,23978,492982
spider/baseball_1/0004,,38,31,2,23916,492860
spider/baseball_1/0005,,11,9,1,4198,37236
spider/baseball_1/0006,,13,9,1,3088,26784
spider/baseball_1/0007,,41,53,2,5750,161138
spider/baseball_1/0008,,35,29,2,19024,453369
spider/baseball_1/0009,,12,6,1,251,1501
spider/baseball_1/0010,,35,29,2,24927,488781
spider/baseball_1/0011,,13,24,1,18849,452307
spider/baseball_1/0012,,15,24,1,28356,471324
spider/baseball_1/0013,,19,24,1,18847,452305
spider/baseball_1/0014,,39,30,3,37404,510390
spider/baseball_1/0015,,32,50,2,28415,262620
spider/baseball_1/0016,,34,50,2,28381,262517
spider/baseball_1/0017,,,29,2,43152,525228
spider/baseball_1/0018,,22,24,1,34895,484402
spider/baseball_1/0019,,28,56,2,3113,137404
spider/baseball_1/0020,,33,56,2,3113,137404
spider/baseball_1/0021,,38,56,2,3113,137405
spider/baseball_1/0022,,32,56,2,3125,137429
spider/baseball_1/0023,,,56,2,3113,137404
spider/baseball_1/0024,,19,9,1,308,2764
spider/baseball_1/0025,,36,50,2,28381,262516
spider/baseball_1/0026,,33,50,2,28381,262516
spider/baseball_1/0027,,17,5,1,25578,127878
spider/baseball_1/0028,,24,5,1,26124,128424
spider/baseball_1/0029,,13,9,1,4121,37081
spider/baseball_1/0030,,12,6,1,251,1501
spider/baseball_1/0031,,33,14,2,3195,27997
spider/baseball_1/0032,,33,14,2,3195,27997
spider/baseball_1/0033,,38,53,2,5750,161137
spider/baseball_1/0034,,45,28,2,44422,580180
spider/baseball_1/0035,,98,73,3,47234,714835
spider/baseball_1/0036,,38,53,2,5750,161137
spider/baseball_1/0037,,32,53,2,5750,161137
spider/baseball_1/0038,,14,6,1,270,1520
spider/baseball_1/0039,,12,4,1,121,481
spider/baseball_1/0040,,16,6,1,278,1528
spider/baseball_1/0041,,32,14,2,3195,27997
spider/behavior_monitoring/0001,,6,6,1,16,91
spider/behavior_monitoring/0002,,6,6,1,30,105
spider/behavior_monitoring/0003,,12,9,1,21,181
spider/behavior_monitoring/0004,,8,8,1,16,121
spider/behavior_monitoring/0005,,6,7,1,18,108
spider/behavior_monitoring/0006,,15,8,1,21,132
spider/behavior_monitoring/0007,,6,7,1,30,120
spider/behavior_monitoring/0008,,9,10,1,30,180
spider/behavior_monitoring/0009,,19,10,1,16,151
spider/behavior_monitoring/0010,,8,3,1,16,46
spider/behavior_monitoring/0011,,12,9,1,16,136
spider/behavior_monitoring/0012,,12,2,1,4,7
spider/behavior_monitoring/0013,,13,6,1,21,122
spider/behavior_monitoring/0014,,12,9,1,16,136
spider/behavior_monitoring/0015,,9,6,1,30,180
spider/behavior_monitoring/0016,,9,9,1,40,200
spider/behavior_monitoring/0017,,12,9,1,30,165
spider/behavior_monitoring/0018,,9,6,1,40,240
spider/behavior_monitoring/0019,,31,15,2,31,242
spider/behavior_monitoring/0020,,31,13,2,33,231
spider/behavior_monitoring/0021,,31,17,2,31,272
spider/behavior_monitoring/0022,,38,14,2,31,242
spider/behavior_monitoring/0023,,33,14,2,36,272
spider/behavior_monitoring/0024,,33,14,2,41,302
spider/behavior_monitoring/0025,,31,9,2,19,128
spider/behavior_monitoring/0026,,31,8,2,19,113
spider/behavior_monitoring/0027,,26,15,2,32,242
spider/behavior_monitoring/0028,,26,13,2,33,228
spider/behavior_monitoring/0029,,29,17,2,31,272
spider/behavior_monitoring/0030,,29,14,2,31,242
spider/behavior_monitoring/0031,,28,14,2,41,302
spider/behavior_monitoring/0032,,25,14,2,36,271
spider/behavior_monitoring/0033,,26,14,2,42,302
spider/behavior_monitoring/0034,,30,18,2,37,334
spider/behavior_monitoring/0035,,28,14,2,52,324
spider/behavior_monitoring/0036,,26,17,2,36,316
spider/behavior_monitoring/0037,,26,17,2,36,316
spider/behavior_monitoring/0038,,15,17,2,31,271
spider/behavior_monitoring/0039,,25,14,2,35,245
spider/behavior_monitoring/0040,,38,21,3,57,472
spider/bike_1/0001,,12,24,1,3844,88139
spider/bike_1/0002,,12,7,1,105,525
spider/bike_1/0003,,13,7,1,75,500
spider/bike_1/0004,,14,11,1,9962,109555
spider/bike_1/0005,,19,7,1,71,492
spider/bike_1/0006,,11,11,1,9960,109550
spider/bike_1/0007,,19,11,1,9960,109551
spider/bike_1/0008,,19,24,1,3670,87970
spider/bike_1/0009,,8,11,1,9960,109550
spider/bike_1/0010,,8,7,1,71,491
spider/bike_1/0011,,12,7,1,71,491
spider/bike_1/0012,,26,11,2,8575,34456
spider/bike_1/0013,,22,11,1,9960,109551
spider/bike_1/0014,,19,11,1,9960,109550
spider/bike_1/0015,,19,24,1,3666,87961
spider/bike_1/0016,,33,17,2,10030,110042
spider/bike_1/0017,,28,11,2,8571,34452
spider/bike_1/0018,,50,11,2,8562,34448
spider/bike_1/0019,,19,24,1,3668,87963
spider/bike_1/0020,,15,24,1,3666,87961
spider/bike_1/0021,,23,11,2,8558,34439
spider/bike_1/0022,,27,11,2,8558,34439
spider/bike_1/0023,,15,24,1,4167,88964
spider/bike_1/0024,,31,34,2,13629,197514
spider/bike_1/0025,,17,24,1,3670,87970
spider/bike_1/0026,,27,24,1,3668,87966
spider/bike_1/0027,,23,17,2,19988,129957
spider/bike_1/0028,,25,17,2,10030,110040
spider/bike_1/0029,,25,17,2,10030,110040
spider/bike_1/0030,,25,24,1,4252,88547
spider/bike_1/0031,,28,11,2,8584,34465
spider/bike_1/0032,,42,11,2,8573,34454
spider/bike_1/0033,,17,7,1,71,493
spider/bike_1/0034,,17,24,1,3668,87969
spider/bike_1/0035,,17,7,1,72,494
spider/bike_1/0036,,17,11,1,9978,109587
spider/bike_1/0037,,16,24,1,3669,87964
spider/bike_1/0038,,13,7,1,75,495
spider/bike_1/0039,,14,24,1,3670,87970
spider/bike_1/0040,,14,11,1,9962,109555
spider/bike_1/0041,,32,17,2,10098,110246
spider/bike_1/0042,,32,17,2,10099,110249
spider/bike_1/0043,,12,11,1,9976,109566
spider/bike_1/0044,,18,24,1,3668,87963
spider/bike_1/0045,,24,11,1,14830,114420
spider/bike_1/0046,,14,24,1,3752,88047
spider/bike_1/0047,,22,24,1,3666,87962
spider/bike_1/0048,,30,11,2,8566,34456
spider/bike_1/0049,,30,34,2,13625,197510
spider/bike_1/0050,,26,17,2,10034,110044
spider/bike_1/0051,,,17,2,10030,110040
spider/bike_1/0052,,27,17,2,10030,110041
spider/body_builder/0001,,6,5,1,6,26
spider/body_builder/0002,,9,5,1,10,30
spider/body_builder/0003,,12,5,1,10,35
spider/body_builder/0004,,8,5,1,6,26
spider/body_builder/0005,,11,5,1,6,26
spider/body_builder/0006,,9,6,1,12,42
spider/body_builder/0007,,19,10,2,16,66
spider/body_builder/0008,,26,10,2,15,65
spider/body_builder/0009,,25,10,2,12,62
spider/body_builder/0010,,29,10,2,12,63
spider/body_builder/0011,,26,10,2,13,63
spider/body_builder/0012,,28,10,2,12,62
spider/body_builder/0013,,23,10,2,16,66
spider/body_builder/0014,,11,6,1,12,48
spider/body_builder/0015,,13,6,1,7,37
spider/body_builder/0017,,12,6,1,12,48
spider/body_builder/0018,,6,5,1,10,50
spider/body_builder/0019,,32,10,2,12,63
spider/body_builder/0020,,8,6,1,7,37
spider/body_builder/0021,,15,10,2,12,62
spider/body_builder/0022,,34,10,2,13,63
spider/body_builder/0023,,26,10,2,12,62
spider/body_builder/0024,,8,5,1,6,26
spider/book_2/0001,,6,4,1,11,41
spider/book_2/0002,,9,4,1,20,50
spider/book_2/0003,,9,4,1,20,50
spider/book_2/0004,,12,4,1,19,49
spider/book_2/0005,,9,4,1,20,60
spider/book_2/0006,,9,5,1,14,42
spider/book_2/0007,,12,5,1,9,37
spider/book_2/0008,,11,5,1,8,36
spider/book_2/0009,,11,5,1,10,38
spider/book_2/0010,,23,8,2,24,89
spider/book_2/0011,,26,8,2,20,78
spider/book_2/0012,,23,8,2,24,82
spider/book_2/0013,,14,5,1,9,37
spider/book_2/0014,,11,5,1,12,45
spider/book_2/0015,,13,5,1,8,36
spider/book_2/0016,,14,4,1,12,42
spider/book_2/0017,,15,8,2,20,78
spider/book_2/0018,,24,5,1,8,36
spider/book_2/0019,,8,5,1,8,36
spider/book_2/0020,,19,5,1,9,37
spider/browser_web/0001,,12,3,1,5,13
spider/browser_web/0002,,9,3,1,8,16
spider/browser_web/0003,,12,3,1,8,24
spider/browser_web/0004,,18,3,1,5,15
spider/browser_web/0005,,15,3,1,5,14
spider/browser_web/0006,,15,5,1,37,131
spider/browser_web/0007,,45,9,3,33,135
spider/browser_web/0008,,32,8,2,31,128
spider/browser_web/0009,,31,6,2,14,41
spider/browser_web/0010,,45,9,3,33,135
spider/browser_web/0011,,8,5,1,20,96
spider/browser_web/0012,,15,8,2,29,123
spider/browser_web/0013,,37,9,3,35,137
spider/browser_web/0014,,74,9,3,34,136
spider/browser_web/0015,,50,9,3,49,168
spider/browser_web/0016,,12,5,1,20,96
spider/browser_web/0017,,11,5,1,33,123
spider/browser_web/0018,,38,9,3,41,152
spider/candidate_poll/0001,,6,8,1,7,49
spider/candidate_poll/0002,,13,8,1,7,49
spider/candidate_poll/0003,,11,8,1,9,51
spider/candidate_poll/0004,,11,8,1,7,49
spider/candidate_poll/0005,,15,8,1,12,66
spider/candidate_poll/0006,,11,8,1,7,49
spider/candidate_poll/0007,,9,6,1,18,63
spider/candidate_poll/0008,,19,6,1,10,56
spider/candidate_poll/0009,,19,6,1,11,56
spider/candidate_poll/0010,,18,6,1,11,60
spider/candidate_poll/0011,,29,13,2,16,104
spider/candidate_poll/0012,,31,13,2,17,108
spider/candidate_poll/0013,,30,13,2,16,103
spider/candidate_poll/0014,,15,13,2,18,105
spider/candidate_poll/0015,,27,13,2,21,108
spider/candidate_poll/0016,,17,6,1,11,58
spider/candidate_poll/0017,,18,8,1,7,51
spider/candidate_poll/0018,,30,13,2,16,103
spider/candidate_poll/0019,,18,6,1,13,58
spider/candidate_poll/0020,,6,6,1,18,108
spider/chinook_1/0001,,6,3,1,348,1042
spider/chinook_1/0002,,6,2,1,50,75
spider/chinook_1/0003,,12,13,1,60,780
spider/chinook_1/0004,,15,15,1,13,130
spider/chinook_1/0005,,6,9,1,436,3732
spider/chinook_1/0006,,12,2,1,486,761
spider/chinook_1/0007,,25,4,2,624,1593
spider/chinook_1/0008,,25,4,2,623,1592
spider/chinook_1/0009,,26,4,2,623,1592
spider/chinook_1/0010,,27,4,2,623,1592
spider/chinook_1/0011,,12,9,1,3695,31719
spider/chinook_1/0012,,8,9,1,3504,31528
spider/chinook_1/0013,,13,9,1,3504,31529
spider/chinook_1/0014,,29,11,2,4197,33609
spider/chinook_1/0015,,27,9,2,3529,31578
spider/chinook_1/0016,,27,9,2,3509,31538
spider/chinook_1/0017,,33,11,2,3862,32592
spider/chinook_1/0018,,25,9,2,3529,31578
spider/chinook_1/0019,,27,9,2,3529,31578
spider/chinook_1/0020,,15,13,1,60,769
spider/chinook_1/0021,,12,13,1,60,768
spider/chinook_1/0022,,30,18,2,68,889
spider/chinook_1/0023,,26,18,2,68,888
spider/chinook_1/0024,,8,15,1,9,121
spider/chinook_1/0025,,33,21,2,478,4482
spider/chinook_1/0026,,32,21,2,526,4530
spider/chinook_1/0027,,26,21,2,476,4480
spider/chinook_1/0028,,26,21,2,475,4479
spider/chinook_1/0029,,6,15,1,16,128
spider/chinook_1/0030,,25,9,2,3509,31538
spider/chinook_1/0031,,35,9,2,3529,31578
spider/chinook_1/0032,,32,18,2,70,893
spider/chinook_1/0033,,28,18,2,69,889
spider/chinook_1/0034,,9,3,1,694,1388
spider/chinook_1/0035,,36,4,2,648,1643
spider/chinook_1/0036,,25,4,2,693,1662
spider/chinook_1/0037,,28,9,2,3529,31578
spider/chinook_1/0038,,32,9,2,3529,31579
spider/chinook_1/0039,,12,15,1,9,121
spider/chinook_1/0040,,6,9,1,3505,31529
spider/chinook_1/0041,,15,4,2,623,1592
spider/chinook_1/0042,,74,11,3,3876,32619
spider/cinema/0001,,18,5,1,15,55
spider/cinema/0002,,24,5,1,11,51
spider/cinema/0003,,6,5,1,11,51
spider/cinema/0004,,12,5,1,20,80
spider/cinema/0005,,21,5,1,12,54
spider/cinema/0006,,6,5,1,17,57
spider/cinema/0007,,12,5,1,20,70
spider/cinema/0008,,14,5,1,11,52
spider/cinema/0009,,24,5,1,11,53
spider/cinema/0010,,11,5,1,17,64
spider/cinema/0011,,19,5,1,11,51
spider/cinema/0012,,20,5,1,11,51
spider/cinema/0013,,9,7,1,10,45
spider/cinema/0014,,6,7,1,7,37
